iter	TotalF1	MultiClass
0	0.1465574805	2.67237122
1	0.2350041512	2.641056012
2	0.2921231478	2.609867581
3	0.3091454195	2.582897309
4	0.3386335235	2.544985158
5	0.3383679409	2.51093339
6	0.3495313712	2.496993648
7	0.3674169576	2.462215647
8	0.3767348937	2.435532483
9	0.4358427086	2.401660138
10	0.4600958485	2.379122671
11	0.4633733487	2.368764109
12	0.4816914386	2.335944674
13	0.4771370452	2.316162325
14	0.4940371121	2.295039859
15	0.5032574015	2.275273243
16	0.5085619357	2.256619626
17	0.4993841358	2.237414984
18	0.493714028	2.216480015
19	0.4996800091	2.191090028
20	0.5026473786	2.174582814
21	0.5102639392	2.161957545
22	0.5175820414	2.147445554
23	0.5222775375	2.134292314
24	0.5485271713	2.114767132
25	0.5549362709	2.108139941
26	0.5620624385	2.092560016
27	0.5716192761	2.071329101
28	0.5734331957	2.065645444
29	0.5838842773	2.047267861
30	0.5862498799	2.031887968
31	0.5888984654	2.018655493
32	0.5936349085	2.002933858
33	0.6094905619	1.987418093
34	0.6079446267	1.981534033
35	0.6182868118	1.958712134
36	0.6150676213	1.946364352
37	0.6159942146	1.935783653
38	0.619414611	1.927674526
39	0.6269254538	1.913100701
40	0.6271684068	1.8935842
41	0.6348688985	1.885535138
42	0.6379341486	1.874406919
43	0.6456022431	1.857129698
44	0.6507314391	1.848821284
45	0.6616553129	1.835478081
46	0.663182311	1.827812922
47	0.6622113511	1.819201462
48	0.6595704477	1.803972169
49	0.659501159	1.796275564
50	0.6624377627	1.787080798
51	0.6630151397	1.774949695
52	0.6665965663	1.767180429
53	0.6664318056	1.759061352
54	0.6699218782	1.75440972
55	0.6774510793	1.748883547
56	0.6762439583	1.734920637
57	0.6779097839	1.726610834
58	0.6777230458	1.711463336
59	0.6778001101	1.708523209
60	0.6813357944	1.700890964
61	0.6813773399	1.696568715
62	0.6813391622	1.693199425
63	0.6828234526	1.678602567
64	0.6915511358	1.670433344
65	0.6937224412	1.661469996
66	0.6931361264	1.64778226
67	0.6950940372	1.64417898
68	0.6968668957	1.632758604
69	0.6985125926	1.627533185
70	0.705465332	1.606821633
71	0.7072894389	1.604252066
72	0.7098995288	1.589542337
73	0.708994655	1.583114703
74	0.7107101697	1.580553797
75	0.7113823976	1.575410217
76	0.7141701953	1.571081971
77	0.7141150027	1.556540217
78	0.7174742023	1.551867124
79	0.7183325879	1.550341744
80	0.7243633963	1.541998731
81	0.7274144744	1.526909673
82	0.7282619847	1.509730395
83	0.7342381058	1.504383227
84	0.7324328307	1.500105892
85	0.7454902493	1.480406689
86	0.7445905364	1.477818849
87	0.748109305	1.472506565
88	0.7446688712	1.459679184
89	0.7526919868	1.443668406
90	0.7568547293	1.435414309
91	0.758386206	1.424135614
92	0.7567235422	1.417824666
93	0.757513352	1.408770219
94	0.7566995329	1.401808676
95	0.7600629132	1.398055953
96	0.7608656182	1.385252085
97	0.7650058546	1.37289796
98	0.7641115076	1.368901937
99	0.7649001731	1.363212954
100	0.7665635494	1.359011328
101	0.7656964579	1.348692223
102	0.7707931567	1.341659941
103	0.7759787726	1.333632945
104	0.7742786231	1.330874335
105	0.7768178217	1.322955661
106	0.7792171134	1.318733785
107	0.7835416216	1.308865197
108	0.7892730431	1.302361078
109	0.7867328241	1.29649155
110	0.7902504246	1.292512416
111	0.7917155244	1.286230818
112	0.7940789566	1.280165821
113	0.7938778197	1.270596073
114	0.7964281496	1.266487178
115	0.7992153223	1.256115886
116	0.8019227489	1.250388605
117	0.8060502134	1.244790324
118	0.8035798858	1.239678372
119	0.8061696916	1.23595854
120	0.806808061	1.229723743
121	0.8093454691	1.225589169
122	0.8092457743	1.221259087
123	0.8100245774	1.218937344
124	0.8100748303	1.217125187
125	0.8092885873	1.214875502
126	0.807566956	1.209745509
127	0.8057941518	1.207117505
128	0.8057942425	1.205457361
129	0.8067284204	1.197196764
130	0.8092912577	1.188809419
131	0.8076721219	1.184812127
132	0.8076729128	1.180876446
133	0.8125734012	1.167861628
