iter	Passed	Remaining
0	231	69266
1	462	68941
2	625	61935
3	799	59142
4	1014	59843
5	1225	60047
6	1457	61009
7	1659	60579
8	1904	61582
9	2160	62642
10	2362	62068
11	2562	61489
12	2756	60859
13	2960	60480
14	3152	59890
15	3354	59535
16	3547	59063
17	3744	58661
18	3929	58120
19	4130	57832
20	4346	57740
21	4548	57477
22	4761	57340
23	4979	57261
24	5184	57026
25	5389	56800
26	5589	56515
27	5792	56274
28	5976	55852
29	6160	55442
30	6354	55144
31	6551	54867
32	6745	54580
33	6969	54527
34	6998	52990
35	7195	52769
36	7388	52517
37	7587	52314
38	7788	52122
39	7989	51931
40	8172	51625
41	8375	51450
42	8636	51616
43	8894	51749
44	9118	51672
45	9323	51484
46	9726	52358
47	10055	52791
48	10267	52594
49	10585	52926
50	10833	52893
51	11033	52621
52	11237	52372
53	11455	52185
54	11666	51969
55	11901	51856
56	12101	51591
57	12323	51420
58	12528	51177
59	12733	50935
60	12950	50741
61	13147	50468
62	13351	50225
63	13549	49964
64	13741	49680
65	13970	49531
66	14163	49256
67	14214	48495
68	14420	48277
69	14611	48009
70	14811	47773
71	15007	47524
72	15223	47339
73	15477	47267
74	15687	47062
75	15895	46850
76	16099	46627
77	16306	46410
78	16500	46158
79	16717	45973
80	16977	45901
81	17181	45678
82	17413	45526
83	17625	45323
84	17848	45146
85	18090	45016
86	18317	44846
87	18556	44703
88	18780	44523
89	19010	44356
90	19236	44181
91	19462	44002
92	19671	43784
93	19895	43600
94	20104	43382
95	20315	43169
96	20560	43029
97	20780	42833
98	20977	42590
99	21170	42341
100	21374	42114
101	21582	41894
102	21797	41690
103	21993	41449
104	22187	41205
105	22399	40994
106	22618	40797
107	22841	40606
108	23046	40384
109	23252	40162
110	23449	39927
111	23644	39689
112	23850	39470
113	24051	39241
114	24265	39035
115	24466	38808
116	24662	38575
117	24856	38338
118	25062	38120
119	25320	37980
120	25538	37780
121	25748	37567
122	25952	37345
123	26172	37148
124	26400	36960
125	26593	36725
126	26790	36494
127	26989	36267
128	27189	36041
129	27393	35822
130	27596	35602
131	27793	35373
132	27990	35145
133	28192	34925
134	28407	34719
135	28619	34511
136	28816	34285
137	29015	34062
138	29201	33823
139	29398	33597
140	29593	33370
141	29792	33149
142	29988	32924
143	30177	32692
144	30425	32524
145	30615	32293
146	30825	32083
147	31028	31867
148	31220	31639
149	31428	31428
150	31618	31199
151	31820	30983
152	32023	30767
153	32205	30532
154	32407	30316
155	32616	30107
156	32809	29883
157	33015	29671
158	33210	29450
159	33407	29231
160	33603	29011
161	33804	28796
162	33994	28572
163	34183	28347
164	34380	28129
165	34575	27910
166	34783	27701
167	34974	27479
168	35160	27254
169	35359	27039
170	35562	26827
171	35775	26623
172	35973	26408
173	36165	26188
174	36378	25984
175	36574	25768
176	36775	25555
177	36973	25341
178	37165	25123
179	37373	24915
180	37564	24697
181	37765	24485
182	37959	24269
183	38154	24054
184	38366	23849
185	38571	23640
186	38780	23433
187	38988	23227
188	39202	23023
189	39417	22820
190	39625	22613
191	39835	22407
192	40035	22196
193	40231	21982
194	40503	21809
195	40715	21604
196	40935	21403
197	41127	21186
198	41376	21000
199	41609	20804
200	41827	20601
201	42026	20389
202	42227	20177
203	42455	19979
204	42671	19774
205	42907	19578
206	43125	19375
207	43333	19166
208	43539	18957
209	43740	18745
210	43939	18533
211	44133	18319
212	44340	18110
213	44539	17899
214	44760	17695
215	44967	17487
216	45156	17271
217	45346	17057
218	45541	16844
219	45741	16633
220	45960	16429
221	46156	16217
222	46359	16007
223	46565	15798
224	46810	15603
225	47022	15396
226	47248	15194
227	47506	15001
228	47745	14803
229	47988	14605
230	48205	14399
231	48425	14193
232	48624	13982
233	48819	13769
234	49019	13558
235	49214	13346
236	49424	13138
237	49621	12926
238	49826	12717
239	50021	12505
240	50224	12295
241	50683	12147
242	51015	11966
243	51283	11769
244	51542	11570
245	51818	11374
246	52020	11162
247	52206	10946
248	52431	10739
249	52669	10533
250	52917	10330
251	53125	10119
252	53329	9907
253	53520	9692
254	53720	9480
255	53918	9267
256	54110	9053
257	54305	8840
258	54497	8626
259	54688	8413
260	54899	8203
261	55101	7991
262	55295	7779
263	55493	7567
264	55682	7354
265	55883	7142
266	56073	6930
267	56276	6719
268	56470	6507
269	56681	6297
270	56900	6088
271	57096	5877
272	57301	5667
273	57494	5455
274	57688	5244
275	57903	5035
276	58092	4823
277	58289	4612
278	58488	4402
279	58686	4191
280	58888	3981
281	59079	3771
282	59285	3561
283	59474	3350
284	59669	3140
285	59860	2930
286	60050	2720
287	60246	2510
288	60486	2302
289	60671	2092
290	60885	1883
291	61104	1674
292	61310	1464
293	61513	1255
294	61698	1045
295	61909	836
296	62094	627
297	62295	418
298	62501	209
299	62691	0
