,transaction_id,terminal_id,customer_id,amount,currency,transaction_time,transaction_hour,transaction_weekday,payment_method,item_count,operator_id,device_id,batch_id,auth_code,response_code,network_type,session_id,reference_number,trace_id,pos_entry_mode,true_mcc,merchant_id,terminal_name,terminal_description,terminal_city,terminal_type,terminal_serial,terminal_version,merchant_name,merchant_city,items_total_price,items_mean_price,items_price_std,items_min_price,items_max_price,items_price_range,items_text,is_weekend,text,amount_log,items_price_cv,items_vs_amount,terminal_name_len,terminal_desc_len,items_text_len,amount_per_item,items_price_skew,is_single_item_expensive,items_vs_amount_gap,price_roundness,item_count_bucket,avg_price_bucket,item_count_vs_price
0,TX00001116,T000233,C000383,272.8,GBP,2024-11-16 22:00:00,22,Saturday,MOBILE,3,OP50,DEV-D873,B7549,771150,0,4G,274b8351,REF16528164,ed39a783-a597-4d5c-884b-8dfa9f4f2083,7,5995,M00119,LOCATION,general cmoupanieon s faovorites service general,HOU,POS,SN819522799,5.6.8,PLAZA002,HOU,144.1,48.03333333333333,16.50461854552638,28.99,58.2,29.210000000000004,braenk etuers,1,braenk etuers general cmoupanieon s faovorites service general hou,5.612397912854348,2.910296484637804,0.5282258064516129,8,48,13,90.90303232255916,0.21165416403544698,0,0.47177246417718416,1,1,2,144.1
1,TX00001368,T000265,C000004,196.33,GBP,2024-01-14 07:00:00,7,Sunday,MOBILE,2,OP58,DEV-E604,B6001,84120,0,5G,462cd323,REF51086615,208a1fbe-60ce-447a-b700-daab3da0ca42,91,5942,M00134,PLACE,regular general item,HOU,MOB,SN984297340,1.1.5,STORE003,HOU,30.04,15.02,14.736105319927653,4.6,25.44,20.840000000000003,unfoldiin gamber,1,unfoldiin gamber regular general item hou,5.284877454181334,1.0192652450500903,0.15300769113227727,5,20,16,98.11594202898551,0.6936954929764997,1,0.8469879947639446,1,1,1,30.04
2,TX00000422,T000083,C000171,172.16,USD,2024-08-09 13:00:00,13,Friday,CARD,3,OP23,DEV-C642,B5884,363382,0,WIFI,7fd24097,REF38935409,e1fbc784-1fcc-4816-93ab-e8244540b484,7,5651,M00045,LOCATION,regular basic basic basic regular,PHX,POS,SN605120084,3.9.49,OUTLET002,PHX,193.01,64.33666666666666,23.284235725772348,39.34,85.41,46.06999999999999,unit part stuff element part,0,unit part stuff element part regular basic basic basic regular phx,5.15421602257378,2.763099782375725,1.1211082713754648,8,33,28,57.36754415194935,0.32754270437742544,0,0.12110756791607852,0,1,3,193.01
3,TX00000413,T000078,C000450,465.8,GBP,2024-08-16 23:00:00,23,Friday,CARD,4,OP12,DEV-C374,B9213,479281,0,4G,3f2021da,REF45112407,73532bfb-91c0-4374-bd6f-e5321a16735a,81,5651,M00041,PLACE,regular product piece general,HOU,ONL,SN285112125,4.4.19,A3,HOU,145.51,36.3775,37.82697042675592,2.65,81.99,79.33999999999999,unit part stuff meatowboudn unit part stuff uofragments part part,0,unit part stuff meatowboudn unit part stuff uofragments part part regular product piece general hou,6.145900900412401,0.9616815618485091,0.3123872906826964,5,29,65,116.42089477630591,1.2538312464780021,0,0.6876112331231578,0,2,2,145.51
4,TX00000451,T000086,C000486,425.81,EUR,2024-05-13 22:00:00,22,Monday,CARD,5,OP27,DEV-C722,B9005,376123,0,LAN,ceab216a,REF59097411,395f6a67-83dc-4675-ab2a-3d60ea698ca3,5,5651,M00046,SHOP,basic service common basic in basic,NYC,ONL,SN205183339,3.6.21,C1,NYC,214.67,42.934000000000005,27.201423308349145,10.89,70.27,59.379999999999995,element part ashfll serenidy vei part averwind whisperiing embelrigt part gosesamer,0,element part ashfll serenidy vei part averwind whisperiing embelrigt part gosesamer basic service common basic in basic nyc,6.056338949331185,1.5783732900043483,0.5041450412155656,4,35,83,85.14497100579884,0.6366833585652728,0,0.4958537942890156,0,2,2,214.67000000000002
5,TX00000861,T000167,C000188,228.83,USD,2024-05-06 11:00:00,11,Monday,CARD,2,OP40,DEV-B210,B4357,686671,5,WIFI,91893127,REF85577947,ac472fa2-1687-48aa-8c75-376cfe901efe,91,5912,M00085,PLACE,unit unit unit unit,CHI,KSK,SN601257692,2.9.87,B1,CHI,106.73,53.365,48.79743896968365,18.86,87.87,69.01,thing,0,thing unit unit unit unit chi,5.437339905196839,1.0936024743666166,0.4664161167679063,5,19,5,114.35782108945529,0.6465727242064236,1,0.5335815514506339,0,1,3,106.73
6,TX00001063,T000205,C000017,10.96,USD,2024-03-17 21:00:00,21,Sunday,MOBILE,4,OP42,DEV-D640,B9369,755943,0,LAN,4a3cdeac,REF63721952,fd9f9049-e492-4bca-a94b-1e92f6983868,7,5261,M00105,SHOP,entless pssbilities udner regular roof,HOU,KSK,SN506180769,4.2.6,MART004,HOU,250.95,62.7375,31.939348120043608,23.02,93.41,70.39,part currenat emberveult unit spleintered sephyr unit,1,part currenat emberveult unit spleintered sephyr unit entless pssbilities udner regular roof hou,2.481567748522486,1.9642698956848446,22.896897810218974,4,38,53,2.739315171207198,0.48889437904954697,0,21.894900100355805,0,2,3,250.95
7,TX00000741,T000134,C000269,166.49,USD,2024-05-27 15:00:00,15,Monday,MOBILE,1,OP17,DEV-C131,B6255,369540,0,4G,ffac7e2d,REF90616304,f1e9e9fd-6774-4513-a421-4788c24dd0ef,91,5732,M00071,LOCATION,common standard stuff standard,LA,KSK,SN693249602,3.0.65,XYZ002,LA,49.84,49.84,0.0,49.84,49.84,0.0,piece item,0,piece item common standard stuff standard la,5.120923647990379,inf,0.29935731875788335,8,30,10,166.32367632367635,0.0,1,0.7006384729504898,0,0,2,49.84
8,TX00001272,T000250,C000432,358.06,EUR,2024-07-01 17:00:00,17,Monday,CARD,4,OP55,DEV-E367,B3730,87021,14,LAN,a1282d80,REF93968840,35d09f6b-1e3c-44ca-86ea-de3f5af06d31,5,5941,M00126,PLACE,thing common thing thing,HOU,ONL,SN704191051,1.0.22,OUTLET003,HOU,275.27,68.8175,16.83084940419427,53.54,87.58,34.04,eteran uflow laiminal thing,0,eteran uflow laiminal thing thing common thing thing hou,5.883489505442683,4.088771656577865,0.7687817684187007,5,24,27,89.49262684328917,0.2726374448731083,0,0.2312175858303474,0,2,3,275.27
9,TX00000259,T000041,C000338,76.88,GBP,2024-07-12 16:00:00,16,Friday,CARD,4,OP07,DEV-A389,B7290,234199,14,4G,b5667c07,REF99705272,63646593-340f-4e7c-a80f-9845d104fcc7,81,5812,M00021,LOCATION,stuff stuff general stuff,CHI,POS,SN701235430,2.7.98,STORE004,CHI,135.96,33.99,7.439090446194795,24.58,42.35,17.770000000000003,benaieth item trae fracteured curorent,0,benaieth item trae fracteured curorent stuff stuff general stuff chi,4.3551691805039985,4.569106968901876,1.7684703433923,8,25,38,19.21519620094976,0.24594745667970933,0,0.7684603478102524,1,2,2,135.96
10,TX00000888,T000167,C000002,402.88,EUR,2024-02-08 19:00:00,19,Thursday,CARD,1,OP37,DEV-B706,B6736,593620,0,5G,1d745dec,REF79505854,5d014225-4399-410e-9d09-e5f0fe6a95b3,81,5912,M00085,PLACE,unit unit unit unit,CHI,KSK,SN601257692,2.9.87,B1,CHI,53.46,53.46,0.0,53.46,53.46,0.0,piece,0,piece unit unit unit unit chi,6.00111780413612,inf,0.13269459888800636,5,19,5,402.47752247752254,0.0,1,0.8673032483537323,0,0,3,53.46
11,TX00001432,T000277,C000363,111.27,EUR,2024-10-28 17:00:00,17,Monday,MOBILE,1,OP60,DEV-E343,B7720,92195,0,WIFI,5277630d,REF61061730,9aee7fdb-ecd4-4af0-9893-9510651ac3a1,5,5945,M00140,PLACE,o order basic item order basic,HOU,MOB,SN774538442,1.8.0,SHOP004,HOU,17.81,17.81,0.0,17.81,17.81,0.0,thing,0,thing o order basic item order basic hou,4.720906684470688,inf,0.16006111260896916,5,30,5,111.15884115884117,0.0,1,0.8399313388034617,0,0,1,17.81
12,TX00000712,T000151,C000065,472.36,EUR,2024-12-13 13:00:00,13,Friday,CASH,3,OP17,DEV-C558,B4505,333699,0,5G,57a49c83,REF23404936,2d73ad0d-e083-4904-8c40-64f266782bee,91,5732,M00078,LOCATION,common piece piece common,PHX,ONL,SN623224019,3.3.15,CENTER001,PHX,121.14,40.38,23.909864073223005,19.74,66.58,46.84,emebr object erity shdaowing object emebr threead,0,emebr object erity shdaowing object emebr threead common piece piece common phx,6.159856198368439,1.6888427251755955,0.25645693962232197,8,25,49,157.40086637787405,0.6488199895990687,0,0.7435414862785031,0,1,2,121.14000000000001
13,TX00001382,T000265,C000294,377.76,EUR,2024-10-11 06:00:00,6,Friday,CASH,1,OP52,DEV-E326,B1240,74700,0,5G,19a3904e,REF53559277,61a78462-96d3-4535-af0a-16d955311597,81,5942,M00134,PLACE,regular general item,HOU,MOB,SN984297340,1.1.5,STORE003,HOU,84.31,84.31,0.0,84.31,84.31,0.0,unit,0,unit regular general item hou,5.936902759115299,inf,0.2231840321897501,5,20,4,377.3826173826174,0.0,1,0.7768139114413611,0,0,3,84.31
14,TX00000070,T000002,C000330,100.35,EUR,2024-11-23 14:00:00,14,Saturday,MOBILE,5,OP09,DEV-A361,B3661,269777,0,WIFI,57163ad0,REF29225877,53136c7a-7a14-414f-94e0-0e91b58cca69,7,5411,M00001,PLACE,stuff service stuff service s staples,NYC,ONL,SN291167080,2.9.68,STORE001,NYC,290.52,58.104,24.9044078427896,30.74,81.28,50.540000000000006,owven element harmonizd fleetng saffran eclpise quenech velved item,1,owven element harmonizd fleetng saffran eclpise quenech velved item stuff service stuff service s staples nyc,4.618579872898009,2.3330809697136585,2.895067264573991,5,37,67,20.06598680263947,0.3988641252904226,0,1.8950483801855487,0,2,3,290.52
15,TX00001268,T000254,C000330,296.18,EUR,2024-06-20 14:00:00,14,Thursday,MOBILE,1,OP59,DEV-E796,B2220,962314,0,LAN,18532d42,REF35179681,2c522af5-5a59-4bc3-8d1f-c736f5923af9,91,5941,M00128,LOCATION,common item common common,HOU,POS,SN974172182,1.0.6,STORE001,HOU,32.99,32.99,0.0,32.99,32.99,0.0,,0,common item common common hou,5.694338015828201,inf,0.11138496860017558,8,25,0,295.88411588411594,0.0,1,0.8886120311566239,1,0,2,32.99
16,TX00001491,T000290,C000381,224.58,USD,2024-12-13 17:00:00,17,Friday,CARD,2,OP58,DEV-E953,B9281,981084,0,5G,42987916,REF14558338,cac2d136-2b38-459f-98c1-b71742ae3674,5,5945,M00146,SHOP,common general piece common common,CHI,ONL,SN454596333,1.7.2,MART004,CHI,155.53,77.765,9.553012613830251,71.01,84.52,13.509999999999993,object thing swya,0,object thing swya common general piece common common chi,5.418674863211771,8.140364002808571,0.6925371805147386,4,34,17,112.23388305847078,0.0868631535632538,0,0.30746145043436446,0,1,3,155.53
17,TX00000607,T000130,C000092,60.34,USD,2024-05-22 12:00:00,12,Wednesday,MOBILE,4,OP18,DEV-C951,B4215,446932,0,4G,95f7fb4c,REF89966028,2e90e475-b025-47cc-871b-63bd37c35125,91,5311,M00068,SHOP,order order order stuff order,HOU,ONL,SN401116460,4.0.43,A1,HOU,279.90999999999997,69.97749999999999,22.15643529541699,48.16,94.88,46.72,cohasing,0,cohasing order order order stuff order hou,4.116432158686106,3.158337479245801,4.638879681803115,4,29,8,15.081229692576855,0.355859299642033,0,3.6388193765433114,1,2,3,279.90999999999997
18,TX00000433,T000076,C000098,408.09,EUR,2024-02-22 08:00:00,8,Thursday,CARD,1,OP16,DEV-C589,B8703,488694,14,4G,2cbaa33d,REF25674475,8fd5f380-1d82-4588-8363-880667333229,91,5651,M00040,SHOP,a stuff general unit thing product,LA,MOB,SN345187015,3.5.38,A2,LA,46.53,46.53,0.0,46.53,46.53,0.0,element part,0,element part a stuff general unit thing product la,6.013935180735349,inf,0.11401896640446961,4,34,12,407.6823176823177,0.0,1,0.8859788625576158,0,0,2,46.53
19,TX00000051,T000018,C000107,465.36,EUR,2024-05-24 10:00:00,10,Friday,MOBILE,3,OP02,DEV-A630,B2931,249612,0,5G,6b262530,REF21928391,432b3c13-9a38-4e59-90d6-5801f27947ba,5,5411,M00009,PLACE,item piece piece piece,PHX,POS,SN111170981,1.1.56,C1,PHX,155.92000000000002,51.973333333333336,46.04835103815699,6.97,99.0,92.03,piece aclipse asffrn piece cascte item elsewhee,0,piece aclipse asffrn piece cascte item elsewhee item piece piece piece phx,6.144957868065091,1.1286687180235127,0.3350524325253567,5,22,47,155.06831056314562,0.9048055771117794,0,0.6649461385891813,1,1,3,155.92000000000002
20,TX00001199,T000225,C000001,430.26,USD,2024-10-12 21:00:00,21,Saturday,CARD,3,OP48,DEV-D236,B5379,821771,0,LAN,57049cef,REF88648797,548fde36-44f5-4f52-8bcf-98837923d4dc,81,5995,M00115,PLACE,piece expansive piece thing,PHX,KSK,SN189529569,5.6.80,OUTLET003,PHX,180.84,60.28,36.59558989823774,26.66,99.26,72.60000000000001,stuff brnk eclipsoeed piece thing,1,stuff brnk eclipsoeed piece thing piece expansive piece thing phx,6.06671115648252,1.6471930133554913,0.42030400223120906,5,27,33,143.3722092635788,0.6466382442228895,0,0.5796946504563509,0,1,3,180.84
21,TX00001128,T000216,C000088,24.14,USD,2024-11-04 16:00:00,16,Monday,MOBILE,2,OP50,DEV-D554,B4839,823655,0,WIFI,8ee58d8f,REF72039090,9559dbf6-86e2-44c0-b7e7-aaaa5c737bf8,5,5995,M00110,PLACE,esetnials curatiet regular basic basic stuff,LA,ONL,SN489547475,5.4.78,ABC002,LA,113.92,56.959999999999994,54.29165865950311,18.57,95.35,76.78,object dethesr,0,object dethesr esetnials curatiet regular basic basic stuff la,3.2244602031621015,1.0491482744565186,4.71913835956918,5,44,14,12.063968015992005,0.6739699092361442,1,3.718984300567499,1,1,3,113.91999999999999
22,TX00001190,T000225,C000227,11.32,GBP,2024-01-03 07:00:00,7,Wednesday,CARD,2,OP50,DEV-D288,B3399,837899,0,WIFI,21eacd22,REF79039857,93d2f7da-6635-455f-a8a1-b28cf5cf8e11,91,5995,M00115,PLACE,piece expansive piece thing,PHX,KSK,SN189529569,5.6.80,OUTLET003,PHX,68.93,34.465,5.43765114732455,30.62,38.31,7.690000000000001,piece thing,0,piece thing piece expansive piece thing phx,2.511223958105374,6.338214619920511,6.08922261484099,5,27,11,5.657171414292854,0.11155921777984097,0,5.088773076583341,0,1,2,68.93
23,TX00001249,T000253,C000048,94.94,EUR,2024-06-08 23:00:00,23,Saturday,MOBILE,3,OP54,DEV-E302,B9700,84700,0,5G,fbd57f81,REF63296865,710aa917-1b0b-4d4a-9565-a9ccd7992fbb,5,5941,M00128,STORE,regular order common order,HOU,POS,SN864133593,1.4.44,STORE001,HOU,163.0,54.333333333333336,8.496377659528404,45.75,62.74,16.990000000000002,frosbite hoirzon celeztiaal thing,1,frosbite hoirzon celeztiaal thing regular order common order hou,4.563722996073918,6.3948820910050195,1.7168738150410787,5,26,33,31.636121292902367,0.15472107875315178,0,0.7168662643115198,0,1,3,163.0
24,TX00001419,T000284,C000029,96.52,EUR,2024-05-07 19:00:00,19,Tuesday,CARD,5,OP56,DEV-E461,B5911,940127,0,4G,2f925e0e,REF19406877,ccf0b665-f937-4a88-902c-c19af1666bf3,81,5945,M00143,SHOP,regular service regular be common,HOU,POS,SN584522759,3.6.44,PLAZA004,HOU,167.48,33.495999999999995,34.073286897509604,1.75,86.49,84.74,thing glam thing thing object thing thing aurelec mbrace,0,thing glam thing thing object thing thing aurelec mbrace regular service regular be common hou,4.5800574851730165,0.9830574931251554,1.7351844177372564,4,33,56,19.300139972005596,1.5820521240708127,0,0.7351768009034303,0,2,2,167.47999999999996
25,TX00000432,T000091,C000395,158.82,GBP,2024-10-26 13:00:00,13,Saturday,CASH,1,OP24,DEV-C200,B7885,484908,0,4G,6836880e,REF45842449,253a7a66-2bf4-4b1f-967f-af8d29702738,91,5651,M00048,PLACE,basic regular basic regular,CHI,POS,SN475164522,3.5.39,A1,CHI,74.16,74.16,0.0,74.16,74.16,0.0,limainal,1,limainal basic regular basic regular chi,5.074048181946317,inf,0.4669437098602191,5,27,8,158.66133866133868,0.0,1,0.5330529338059828,0,0,3,74.16
26,TX00001452,T000293,C000442,299.49,EUR,2024-07-26 06:00:00,6,Friday,CARD,4,OP57,DEV-E272,B4150,945212,0,WIFI,69b79e51,REF89233826,6ba586b6-955f-401d-bd7c-5516b5aac5e6,91,5945,M00147,LOCATION,stuff stuff at stuff common,PHX,POS,SN914557560,1.7.49,C2,PHX,115.88,28.97,17.45124828390985,11.9,48.66,36.76,thing say hallouwed thing parrowtede monthead,0,thing say hallouwed thing parrowtede monthead stuff stuff at stuff common phx,5.705414475551326,1.6600531680424546,0.3869244382116264,8,27,45,74.85378655336166,0.679645162403783,0,0.6130735147299919,1,2,2,115.88
27,TX00001470,T000285,C000054,163.31,USD,2024-05-23 20:00:00,20,Thursday,MOBILE,3,OP59,DEV-E422,B4440,959350,0,LAN,f69640e4,REF66718559,a7e34307-31e2-4860-89cd-af27ee51caee,5,5945,M00143,LOCATION,basic stuff stuff stuff basic,HOU,KSK,SN944565374,1.7.75,PLAZA004,HOU,177.89,59.29666666666666,31.794850736138603,35.11,95.31,60.2,gildrain stuell thing latticeboorne muze,0,gildrain stuell thing latticeboorne muze basic stuff stuff stuff basic hou,5.1017548874637395,1.864977041683954,1.089278060131039,8,29,40,54.41852715761413,0.6073313733536454,0,0.08927751345592143,0,1,3,177.89
28,TX00001234,T000255,C000380,198.19,USD,2024-06-27 10:00:00,10,Thursday,CARD,5,OP55,DEV-E145,B2610,937037,0,5G,0b741691,REF34066772,2f0a8117-40f1-406b-90c2-1c157d1c1988,7,5941,M00129,SHOP,piece order piece order,NYC,POS,SN664187687,1.5.29,SHOP003,NYC,289.27,57.854,33.06964438877443,10.5,96.34,85.84,item s part efrostibte item eterna sundwn,0,item s part efrostibte item eterna sundwn piece order piece order nyc,5.294259143087182,1.7494593930268776,1.4595590090317372,4,23,41,39.630073985202955,0.6652147610405325,0,0.45955669026343265,0,2,3,289.27
