iter	Accuracy	MultiClass
0	0.3053333333	2.631599448
1	0.3273333333	2.595266191
2	0.382	2.534324751
3	0.4166666667	2.495312971
4	0.4306666667	2.460783551
5	0.4326666667	2.416903496
6	0.4633333333	2.37682737
7	0.4873333333	2.338527579
8	0.492	2.321424896
9	0.51	2.281583122
10	0.5233333333	2.248616252
11	0.54	2.218709153
12	0.548	2.18649247
13	0.5526666667	2.148341402
14	0.548	2.121038704
15	0.5546666667	2.099700872
16	0.5593333333	2.068824732
17	0.5613333333	2.06167763
18	0.566	2.043217038
19	0.5653333333	2.024218965
20	0.5653333333	2.009522049
21	0.5726666667	1.980498422
22	0.5833333333	1.95992647
23	0.5813333333	1.939962446
24	0.5846666667	1.928370722
25	0.5846666667	1.910258396
26	0.5926666667	1.89570676
27	0.5953333333	1.8684734
28	0.598	1.861939862
29	0.584	1.848533818
30	0.5906666667	1.8273319
31	0.5953333333	1.820263343
32	0.6	1.808976699
33	0.6	1.795967872
34	0.604	1.781328509
35	0.608	1.763216269
36	0.6133333333	1.74541457
37	0.612	1.738395197
38	0.6173333333	1.718951566
39	0.6213333333	1.707693246
40	0.624	1.688230483
41	0.6246666667	1.677655605
42	0.6266666667	1.668630638
43	0.632	1.660497246
44	0.6353333333	1.64841576
45	0.6433333333	1.617135391
46	0.6446666667	1.612281291
47	0.648	1.602642657
48	0.6506666667	1.591574443
49	0.6506666667	1.587572199
50	0.6486666667	1.581940419
51	0.6506666667	1.57626246
52	0.6513333333	1.571744906
53	0.6566666667	1.563228486
54	0.6573333333	1.550743651
55	0.6573333333	1.548266067
56	0.6586666667	1.538750081
57	0.66	1.53346058
58	0.6606666667	1.52455126
59	0.664	1.518969553
60	0.6686666667	1.50189091
61	0.6693333333	1.49560818
62	0.6766666667	1.481826588
63	0.6786666667	1.473372985
64	0.6766666667	1.466970914
65	0.6813333333	1.458360464
66	0.6846666667	1.444629511
67	0.69	1.434276148
68	0.69	1.427354582
69	0.6933333333	1.418465621
70	0.6966666667	1.413898589
71	0.7013333333	1.397127232
72	0.702	1.392762322
73	0.7066666667	1.384824169
74	0.7133333333	1.371573856
75	0.7186666667	1.361202556
76	0.7206666667	1.35213681
77	0.7226666667	1.346444558
78	0.7286666667	1.336680515
79	0.7293333333	1.328778951
80	0.7326666667	1.323425761
81	0.7346666667	1.319831365
82	0.7366666667	1.314835334
83	0.738	1.304993022
84	0.744	1.288862902
85	0.7453333333	1.285043042
86	0.7453333333	1.270414042
87	0.7486666667	1.264359036
88	0.7473333333	1.258717945
89	0.746	1.251407664
90	0.7493333333	1.24587694
91	0.756	1.241098418
92	0.758	1.237653892
93	0.758	1.230721826
94	0.7633333333	1.218266375
95	0.7613333333	1.215735353
96	0.764	1.211860749
97	0.7686666667	1.207212975
98	0.77	1.203467947
99	0.7753333333	1.196573891
100	0.776	1.18478981
101	0.778	1.183036984
102	0.7793333333	1.173133483
103	0.784	1.168668189
104	0.786	1.159877019
105	0.7873333333	1.156638232
106	0.7866666667	1.147146159
107	0.7913333333	1.141467856
108	0.7933333333	1.135299039
109	0.7933333333	1.132389823
110	0.7933333333	1.127843537
111	0.794	1.120024937
112	0.794	1.115152869
113	0.792	1.110286657
114	0.7946666667	1.102858139
115	0.7946666667	1.099764727
116	0.7966666667	1.097440578
