iter	Passed	Remaining
0	278	111044
1	498	99198
2	727	96307
3	997	98800
4	1266	100028
5	1551	101892
6	1789	100491
7	2062	101051
8	2315	100602
9	2563	99972
10	2820	99744
11	3072	99342
12	3324	98980
13	3569	98418
14	3816	97952
15	4061	97484
16	4315	97230
17	4553	96643
18	4795	96152
19	5045	95859
20	5287	95424
21	5544	95266
22	5784	94819
23	6029	94467
24	6264	93964
25	6505	93576
26	6739	93106
27	6973	92652
28	7209	92234
29	7447	91847
30	7681	91439
31	7916	91035
32	8149	90632
33	8382	90234
34	8619	89891
35	8856	89551
36	9086	89149
37	9317	88763
38	9543	88338
39	9867	88807
40	10130	88700
41	10357	88289
42	10591	87937
43	10844	87741
44	11099	87560
45	11344	87303
46	11586	87024
47	11831	86767
48	12077	86515
49	12320	86246
50	12553	85907
51	12783	85553
52	13015	85215
53	13246	84877
54	13476	84535
55	13706	84196
56	13942	83901
57	14172	83568
58	14400	83230
59	14630	82907
60	14865	82610
61	15095	82292
62	15324	81975
63	15553	81656
64	15784	81353
65	16025	81096
66	16253	80781
67	16484	80481
68	16717	80195
69	16970	80003
70	17201	79706
71	17443	79463
72	17674	79171
73	17906	78883
74	18136	78591
75	18365	78296
76	18597	78012
77	18827	77725
78	19055	77430
79	19289	77159
80	19520	76877
81	19850	76982
82	20100	76770
83	20328	76475
84	20557	76184
85	20789	75906
86	21032	75669
87	21305	75537
88	21600	75479
89	21882	75374
90	22124	75125
91	22383	74935
92	22631	74707
93	22876	74471
94	23125	74244
95	23377	74029
96	23615	73766
97	23857	73520
98	24094	73258
99	24321	72964
100	24552	72686
101	24782	72404
102	25017	72138
103	25246	71855
104	25476	71575
105	25706	71299
106	25939	71030
107	26175	70771
108	26405	70496
109	26637	70225
110	26865	69946
111	27097	69680
112	27328	69408
113	27558	69139
114	27789	68869
115	28018	68597
116	28247	68324
117	28477	68057
118	28709	67792
119	28938	67522
120	29168	67256
121	29399	66993
122	29631	66730
123	29980	66730
124	30211	66465
125	30442	66200
126	30671	65932
127	30918	65701
128	31161	65463
129	31402	65220
130	31641	64973
131	31881	64729
132	32131	64503
133	32366	64249
134	32610	64013
135	32842	63753
136	33109	63560
137	33379	63372
138	33610	63109
139	33840	62847
140	34075	62593
141	34312	62342
142	34543	62081
143	34772	61818
144	35005	61561
145	35237	61303
146	35468	61044
147	35700	60787
148	35979	60609
149	36215	60359
150	36446	60100
151	36680	59846
152	36911	59589
153	37149	59343
154	37383	59090
155	37626	58852
156	37894	58651
157	38157	58444
158	38393	58194
159	38625	57938
160	38857	57682
161	39087	57425
162	39320	57171
163	39550	56914
164	39901	56829
165	40140	56583
166	40371	56326
167	40601	56068
168	40831	55811
169	41086	55588
170	41353	55379
171	41595	55138
172	41844	54905
173	42110	54694
174	42354	54456
175	42595	54212
176	42836	53969
177	43082	53732
178	43325	53490
179	43574	53257
180	43814	53013
181	44062	52778
182	44308	52540
183	44550	52298
184	44795	52059
185	45031	51810
186	45269	51563
187	45511	51321
188	45746	51071
189	45989	50831
190	46226	50583
191	46464	50336
192	46700	50088
193	46940	49844
194	47170	49589
195	47411	49346
196	47640	49091
197	47871	48838
198	48102	48585
199	48330	48330
200	48591	48107
201	48833	47866
202	49065	47615
203	49301	47367
204	49528	47112
205	49895	46989
206	50129	46739
207	50361	46487
208	50590	46233
209	50821	45981
210	51066	45742
211	51298	45490
212	51529	45239
213	51758	44986
214	52000	44744
215	52242	44503
216	52485	44261
217	52723	44016
218	52968	43777
219	53207	43533
220	53444	43287
221	53684	43044
222	53926	42802
223	54167	42560
224	54398	42310
225	54628	42059
226	54862	41811
227	55093	41562
228	55318	41307
229	55550	41058
230	55778	40807
231	56017	40564
232	56250	40316
233	56483	40069
234	56715	39821
235	56947	39573
236	57178	39325
237	57408	39076
238	57638	38827
239	57869	38579
240	58098	38330
241	58327	38081
242	58557	37833
243	58788	37585
244	59020	37339
245	59253	37093
246	59481	36844
247	59786	36643
248	60073	36429
249	60308	36185
250	60557	35948
251	60798	35706
252	61055	35475
253	61297	35234
254	61583	35018
255	61833	34781
256	62075	34540
257	62328	34304
258	62573	34065
259	62813	33822
260	63050	33578
261	63290	33336
262	63525	33091
263	63760	32846
264	63992	32600
265	64228	32355
266	64458	32108
267	64691	31863
268	64922	31616
269	65154	31370
270	65385	31124
271	65616	30878
272	65851	30634
273	66085	30389
274	66314	30143
275	66554	29901
276	66788	29657
277	67016	29410
278	67252	29166
279	67483	28921
280	67713	28675
281	67943	28430
282	68175	28185
283	68403	27939
284	68633	27694
285	68863	27449
286	69096	27205
287	69328	26961
288	69559	26716
289	69911	26518
290	70149	26275
291	70378	26030
292	70614	25787
293	70880	25555
294	71113	25311
295	71347	25067
296	71582	24824
297	71814	24580
298	72060	24341
299	72302	24100
300	72544	23860
301	72783	23618
302	73022	23376
303	73277	23140
304	73523	22900
305	73758	22657
306	74165	22466
307	74402	22224
308	74631	21978
309	74863	21734
310	75101	21492
311	75335	21248
312	75567	21004
313	75798	20760
314	76058	20523
315	76291	20279
316	76525	20036
317	76761	19793
318	77006	19553
319	77236	19309
320	77479	19068
321	77709	18823
322	77941	18580
323	78175	18337
324	78409	18094
325	78639	17850
326	78872	17607
327	79105	17364
328	79337	17121
329	79578	16880
330	79938	16663
331	80170	16420
332	80403	16177
333	80636	15934
334	80878	15692
335	81124	15452
336	81360	15209
337	81603	14968
338	81846	14727
339	82099	14488
340	82338	14246
341	82581	14005
342	82819	13763
343	83067	13522
344	83296	13279
345	83527	13036
346	83760	12793
347	83997	12551
348	84225	12308
349	84458	12065
350	84689	11822
351	84923	11580
352	85169	11339
353	85403	11097
354	85644	10856
355	85885	10615
356	86128	10373
357	86361	10131
358	86592	9889
359	86829	9647
360	87061	9405
361	87293	9163
362	87527	8921
363	87755	8679
364	87985	8436
365	88221	8195
366	88451	7953
367	88684	7711
368	88919	7470
369	89158	7229
370	89393	6987
371	89631	6746
372	89983	6513
373	90223	6272
374	90455	6030
375	90691	5788
376	90954	5548
377	91272	5312
378	91520	5071
379	91757	4829
380	92016	4588
381	92270	4347
382	92516	4106
383	92759	3864
384	93001	3623
385	93246	3381
386	93495	3140
387	93742	2899
388	93980	2657
389	94217	2415
390	94450	2174
391	94681	1932
392	94914	1690
393	95145	1448
394	95385	1207
395	95616	965
396	95848	724
397	96085	482
398	96329	241
399	96564	0
